Name, Message, Date, Hash
jschiff, Initial Commit, 4/27/2013, asldkslad
james, Some commit message, 4/27/2013, dfsfsf
melissa, Android or something, 4/27/2013, fsffffff
srushti, COLO-666 introducing demons, 4/27/2013, fdfsgfgggg
alice, CES-235 Performing an important operation, 4/27/2013, zxczxczxxzzxzx
josh, Delete all unauthorized merchants from the database, 4/27/2013, zcxx
anthony, I'm running out of things to say, 4/27/2013, afe
dolly, Let's write a really long commit message this time and see what happens. Frankly I'm not sure what's going to happen so let's see., 4/27/2013, 43f4
joe, Commence project dolphin, 4/27/2013, 23f2qf3
bob, Shards, Flatpack, and Teslas, 4/27/2013, F#Wqf2
chouze, I'm the one really running things, 4/27/2013, f3wfff
pulkit.sethi, NYCO-1 Buy a house, 4/27/2013, zdsf 32
sarah, I don't know some other commit message, 4/27/2013, h45g4
caitlin, I'm almost out of ideas, 4/27/2013, 324ffa
brian, It's insane how few ideas I have left, 4/27/2013, asl322f23dkslad
travis, Yup I can't think of a single commit message anymore, 4/27/2013, f43  
jason, IHeart Android, 4/27/2013, afew32f2w3f23f
zack, something really impressive, 4/27/2013, 32f32f 45gh65y5